product_id,dist_center_id,currency,base_price,suggested_markup,amount_for_price,updated_cost,last_month_base_price,last_month_fob_net,product_anayst,lead_time,min_order_quantity,source_adjustment,competition_adjustment,commentary,on_demand,frac_emb
4476,8,usd,3540.320749,0.15,1000,TRUE,2985.068867,3432.829196,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4478,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4479,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4475,8,usd,3637.73896,0.15,1000,TRUE,3083.107576,3545.573712,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4480,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4480,10,usd,3501.621885,0.15,1000,TRUE,2946.123513,3388.04204,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4475,3,usd,3728.518508,0.15,1000,TRUE,3174.465338,3650.635138,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4487,8,usd,3429.46194,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4486,8,usd,3673.338911,0.15,1000,TRUE,3083.107576,3545.573712,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4486,3,usd,3764.118459,0.15,1000,TRUE,3174.465338,3650.635138,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4487,10,usd,3537.221835,0.15,1000,TRUE,2946.123513,3388.04204,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4487,1,usd,3537.221835,0.15,1000,TRUE,2946.123513,3388.04204,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4482,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4483,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4481,8,usd,3637.73896,0.15,1000,TRUE,3083.107576,3545.573712,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4484,8,usd,3393.861989,0.15,1000,TRUE,2837.677248,3263.328836,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4493,8,usd,3132.795682,0.15,1000,TRUE,2610.663068,3002.262529,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4492,8,usd,3251.537291,0.15,1000,TRUE,2730.160993,3139.685142,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4494,8,usd,3132.795682,0.15,1000,TRUE,2610.663068,3002.262529,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
4491,8,usd,3376.672653,0.15,1000,TRUE,2856.093396,3284.507405,ADRIANO,0,0,0.2,,Repassar,REGULAR,TRUE
4494,1,usd,3302.599154,0.15,1000,TRUE,2781.548091,3198.780305,ADRIANO,0,0,0.2,,Repassar,REGULAR,FALSE
6248,8,usd,5613.894457,0.15,1000,TRUE,5614.159749,6456.283711,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
4454,8,usd,5656.00455,0.2,1000,TRUE,5656.00455,6787.20546,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
183,8,usd,2228.866493,0.15,1000,TRUE,2228.866493,2563.196467,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
1522,8,usd,1444.63569,0.15,1000,TRUE,1444.63569,1661.331044,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
1522,10,usd,1552.395586,0.15,1000,TRUE,1553.081954,1786.044247,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
1519,8,usd,1688.512661,0.15,1000,TRUE,1690.066017,1943.57592,ADRIANO,0,0,,,Repassar,REGULAR,TRUE
5410,8,usd,2435.24302,0.2,1000,TRUE,2435.24302,2922.291624,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5412,8,usd,1506.548648,0.2,1000,TRUE,1506.548648,1807.858378,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5411,8,usd,2070.309236,0.2,1000,TRUE,2071.862593,2486.235111,ADRIANO,0,0,,,Repassar,REGULAR,TRUE
5414,8,usd,4983.993131,0.2,1000,TRUE,4983.993131,5980.791757,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5413,8,usd,4983.993131,0.2,1000,TRUE,4983.993131,5980.791757,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5414,4,usd,5088.81412,0.2,1000,TRUE,5089.48177,6107.378124,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
5417,8,usd,2301.098278,0.2,1000,TRUE,2301.098278,2761.317933,ADRIANO,0,0,,,Repassar,REGULAR,FALSE
