Municipio,Itinerario
LAGOA SANTA,MG 3760
LAGOA VERMELHA,RS 1130
LAJE,BA 1880
LAJEADO,RS 1140
LAMBARI D`OESTE,MT 0523
LARANJA DA TERRA,ES 0316
LARANJAL PAULISTA,SP 2640
LARANJEIRAS,SE 0360
LAURO DE FREITAS,BA 1920
LAURO MULLER,SC 0960
LEME,SP 2670
LENCOIS PAULISTA,SP 2680
LIMEIRA,SP 2690
LIMEIRA DO OESTE,MG 3862
LINHARES,ES 0320
LINS,SP 2710
LOANDA,PR 1350
LONDRINA,PR 1370
LORENA,SP 2720
LOUVEIRA,SP 2730
LUCAS DO RIO VERDE,MT 0525
LUCELIA,SP 2740
LUIS ANTONIO,SP 2760
LUZIANIA,GO 1250
MACAE,RJ 0240
MACAIBA,RN 0710
MACEIO,AL 0430
MADRE DE DEUS,BA 1992
MAFRA,SC 1010
MAGE,RJ 0250
MAIRINQUE,SP 2840
MAIRIPORA,SP 2850
MAMANGUAPE,PB 0890
MANAUS,AM 0260
MANDAGUACU,PR 1410
MANDAGUARI,PR 1420
MANDIRITUBA,PR 1430
MARABA,PA 0420
MARACAJA,SC 1040
MARACAJU,MS 0540
MARACANAU,CE 0765
MARAGOGIPE,BA 2060
MARAIAL,PE 0920
MARANGUAPE,CE 0770
MARAPOAMA,SP 2885
MARAU,RS 1180
MARECHAL CANDIDO RONDON,PR 1460
MARECHAL DEODORO,AL 0470
MARIALVA,PR 1480
MARICA,RJ 0270
MARILIA,SP 2900
MARINGA,PR 1520
MARMELEIRO,PR 1540
MARZAGAO,GO 1290
MASSARANDUBA,SC 1060
MATAO,SP 2930
MATELANDIA,PR 1560
MATEUS LEME,MG 4070
MATOZINHOS,MG 4110
MAUA,SP 2940
MAUA DA SERRA,PR 1575
MEDEIROS NETO,BA 2110
MESQUITA,RJ 0285
MIRAI,MG 4220
MIRASSOL,SP 3030
MOCOCA,SP 3050
MOGI DAS CRUZES,SP 3060
MOGI MIRIM,SP 3080
MOMBUCA,SP 3090
MONTE ALTO,SP 3130
MONTE APRAZIVEL,SP 3140
MONTE BELO DO SUL,RS 1238
MONTE MOR,SP 3180
MONTENEGRO,RS 1240
MONTES CLAROS,MG 4330
MONTEVIDEO - URUGUAI,EX-UY 001
MORADA NOVA,CE 0870
MORRO DA FUMACA,SC 1120
MORRO DO CHAPEU,BA 2170
MORRO REUTER,RS 1247
MORUNGABA,SP 3200
MOSSORO,RN 0800
MURICI,AL 0550
NARANDIBA,SP 3220
NATAL,RN 0810
NAVEGANTES,SC 1130
NAVIRAI,MS 0570
NAZARE DA MATA,PE 0950
NAZARE PAULISTA,SP 3240
NAZARIO,GO 1440
NEROPOLIS,GO 1450
NILOPOLIS,RJ 0320
NITEROI,RJ 0330
NOSSA SENHORA DAS DORES,SE 0460
NOSSA SENHORA DO SOCORRO,SE 0480
NOVA ANDRADINA,MS 0620
NOVA ESPERANCA,PR 1690
NOVA EUROPA,SP 3290
NOVA FRIBURGO,RJ 0340
NOVA HARTZ,RS 1306
NOVA IGUACU,RJ 0350
NOVA LIMA,MG 4480
NOVA MARILANDIA,MT 0885
NOVA MUTUM,MT 0622
NOVA ODESSA,SP 3340
NOVA OLIMPIA,MT 0623
NOVA PETROPOLIS,RS 1320
NOVA PRATA,RS 1330
NOVA ROMA DO SUL,RS 1335
NOVA RUSSAS,CE 0930
NOVA SANTA BARBARA,PR 1721
NOVA SANTA RITA,RS 1337
NOVA SERRANA,MG 4520
NOVA TRENTO,SC 1150
NOVA VENEZA,SC 1160
NOVO HAMBURGO,RS 1340
NOVO HORIZONTE,SP 3350
NOVO LINO,AL 0560
OLIMPIA,SP 3390
OLINDA,PE 0960
ORLANDIA,SP 3430
OSASCO,SP 3440
OSORIO,RS 1350
OSVALDO CRUZ,SP 3460
OURINHOS,SP 3470
OURO,SC 1180
OURO FINO,MG 4600
OURO PRETO,MG 4610
PACATUBA,CE 0970
PALHOCA,SC 1190
PALMAS,TO 2100
PALMEIRA,PR 1770
PALMITAL,SP 3530
PANAMBI,RS 1390
PARA DE MINAS,MG 4710
PARACATU,MG 4700
PARAGUACU PAULISTA,SP 3550
PARAI,RS 1400
PARAISO,SP 3570
PARAISO DO TOCANTINS,TO 1610
PARANACITY,PR 1810
PARANAGUA,PR 1820
PARANAVAI,PR 1840
PARDINHO,SP 3610
PARNAIBA,PI 0770
PARNAMIRIM,RN 0325
PAROBE,RS 1405
PASSO FUNDO,RS 1410
PATO BRANCO,PR 1850
PATOS,PB 1080
PATOS DE MINAS,MG 4800
PATROCINIO,MG 4810
PAULINIA,SP 3650
PAULISTA,PE 1070
PAULO DE FARIA,SP 3660
PEDERNEIRAS,SP 3670
PEDRAS DE FOGO,PB 1120
PEDREIRA,SP 3710
PEDRO CANARIO,ES 0405
PEDRO LEOPOLDO,MG 4930
PELOTAS,RS 1440
PENAPOLIS,SP 3730
PENEDO,AL 0670
PENHA,SC 1250
PESQUEIRA,PE 1090
PETROLINA,PE 1110
PETROPOLIS,RJ 0390
PICADA CAFE,RS 1442
PICOS,PI 0800
PIEN,PR 1910
PINDAMONHANGABA,SP 3800
PINDORETAMA,CE 1085
PINHAIS,PR 1915
PINHALZINHO,SC 1290
PIQUETE,SP 3850
PIRACAIA,SP 3860
PIRACICABA,SP 3870
PIRAJUBA,MG 5070
PIRAPORA DO BOM JESUS,SP 3910
PIRAPOZINHO,SP 3920
PIRAQUARA,PR 1950
PIRIPIRI,PI 0840
PITANGA,PR 1960
PITANGUEIRAS,SP 3950
