SKU,Nome Produto,Unidade,IPI,Peso Especifico,Resolu??o 13,Origem,NCM
66116008-116,Produto 1416,kg,0.05,1,TRUE,1,3208.20.30
66116009-116,Produto 1417,kg,0.05,1,TRUE,1,3208.20.30
66116007-116,Produto 1418,kg,0.05,1,TRUE,1,3208.20.30
66116021-116,Produto 1419,kg,0.05,1,TRUE,1,3208.20.30
66116020-116,Produto 1420,kg,0.05,1,TRUE,1,3208.20.30
66116004-116,Produto 1421,kg,0.05,1,TRUE,1,3208.20.30
66116000-93,Produto 1422,kg,0.05,1,TRUE,2,3906.90.49
66116015-93,Produto 1423,kg,0.05,1,FALSE,0,3906.90.49
66116001-1,Produto 1424,kg,0.05,1,TRUE,1,3906.90.49
66116001-93,Produto 1425,kg,0.05,1,TRUE,2,3906.90.49
66116002-335,Produto 1426,kg,0.05,1,TRUE,2,3906.90.49
66116002-93,Produto 1427,kg,0.05,1,TRUE,1,3906.90.49
66116022-93,Produto 1428,kg,0.05,1,TRUE,1,3906.90.49
66116017-93,Produto 1429,kg,0.05,1,TRUE,1,3906.90.49
66116003-486,Produto 1430,kg,0.05,1,FALSE,0,3906.90.49
66116018-93,Produto 1431,kg,0.05,1,TRUE,1,3208.20.19
66116018-289,Produto 1432,kg,0.05,1,TRUE,1,3208.20.19
66116019-93,Produto 1433,kg,0.05,1,TRUE,1,3208.20.19
66116019-289,Produto 1434,kg,0.05,1,TRUE,1,3208.20.19
66116024-289,Produto 1435,kg,0.05,1,TRUE,1,3208.20.19
66116026-7,Produto 1436,kg,0.05,1,TRUE,1,3208.20.19
66116025-116,Produto 1437,kg,0.05,1,TRUE,1,3208.20.19
64101055-226,Produto 1438,kg,0.05,1.042100875,FALSE,0,3402.19.00
64101056-573,Produto 1439,kg,0.05,1,FALSE,0,3402.19.00
64101057-1,Produto 1440,kg,0.05,1,FALSE,0,3402.19.00
64101057-906,Produto 1441,kg,0.05,0.952018279,TRUE,1,3402.19.00
64101057-509,Produto 1442,kg,0.05,0.952018279,TRUE,1,3402.19.00
64101058-573,Produto 1443,kg,0.05,1,TRUE,1,3402.19.00
64101058-509,Produto 1444,kg,0.05,0.952018279,FALSE,0,3402.19.00
83770004-1,Produto 1445,kg,0,1,TRUE,1,2918.29.40
83770004-91,Produto 1446,kg,0,1,TRUE,1,2918.29.40
83770004-93,Produto 1447,kg,0,1,TRUE,1,2918.29.40
83770004-36,Produto 1448,kg,0,1,TRUE,1,2918.29.40
83770005-192,Produto 1449,kg,0,1,TRUE,1,2918.29.50
83770005-91,Produto 1450,kg,0,1,TRUE,1,2918.29.50
83770005-93,Produto 1451,kg,0,1,TRUE,1,2918.29.50
64997013-10,Produto 1452,kg,0,1,FALSE,0,3809.93.90
64100030-93,Produto 1453,kg,0,1,FALSE,0,3202.90.30
64100030-95,Produto 1454,kg,0,1,FALSE,0,3202.90.30
64100156-93,Produto 1455,kg,0,1,FALSE,0,3809.93.90
64060010-93,Produto 1456,kg,0,1,FALSE,0,3202.90.30
64060010-95,Produto 1457,kg,0,1,FALSE,0,3202.90.30
64060027-95,Produto 1458,kg,0,1,FALSE,0,3202.90.30
64997011-1,Produto 1459,kg,0,1,FALSE,0,3809.93.90
66340030-2,Produto 1460,kg,0.1,1,TRUE,1,3824.99.39
64100110-93,Produto 1461,kg,0,0.8,FALSE,0,1108.14.00
74111009-303,Produto 1462,kg,0,1,FALSE,0,1302.19.99
74111009-340,Produto 1463,kg,0,1,FALSE,0,1302.19.99
66112082-288,Produto 1464,kg,0,1,FALSE,0,2914.19.90
66112082-41,Produto 1465,kg,0,1,FALSE,0,2914.19.90
66112082-1,Produto 1466,kg,0,1,FALSE,0,2914.19.90
66112082-36,Produto 1467,kg,0,1,FALSE,0,2914.19.90
52050009-1,Produto 1468,kg,0,0.807037366,TRUE,2,2914.19.90
52050009-200,Produto 1469,kg,0,0.807037366,TRUE,2,2914.19.90
52050009-467,Produto 1470,kg,0,0.807037366,TRUE,2,2914.19.90
52050009-219,Produto 1471,kg,0,0.807037366,TRUE,2,2914.19.90
52050009-5,Produto 1472,kg,0,0.807037366,TRUE,2,2914.19.90
52050009-10,Produto 1473,kg,0,0.807037366,TRUE,2,2914.19.90
62110053-322,Produto 1474,kg,0,1,TRUE,1,2922.49.62
62110112-322,Produto 1475,kg,0,1,TRUE,1,2922.49.61
62110054-323,Produto 1476,kg,0,1,TRUE,1,2922.49.61
64060093-1,Produto 1477,kg,0,1.095050372,FALSE,0,2922.12.00
64060093-444,Produto 1478,kg,0,1.095050372,FALSE,0,2922.12.00
64994800-52,Produto 1479,kg,0,1.118568233,FALSE,0,2909.41.00
64994801-52,Produto 1480,kg,0,1.12,TRUE,1,2909.41.00
64994800-538,Produto 1481,kg,0,1.118568233,FALSE,0,2909.41.00
64994800-1,Produto 1482,kg,0,1.118568233,FALSE,0,2909.41.00
64994801-1,Produto 1483,kg,0,1.12,TRUE,1,2909.41.00
64994800-201,Produto 1484,kg,0,1.118568233,FALSE,0,2909.41.00
64994801-201,Produto 1485,kg,0,1.12,TRUE,1,2909.41.00
64994800-10,Produto 1486,kg,0,1.118568233,FALSE,0,2909.41.00
64994800-15,Produto 1487,kg,0,1.118568233,FALSE,0,2909.41.00
64994800-28,Produto 1488,kg,0,1.118568233,FALSE,0,2909.41.00
64060068-187,Produto 1489,kg,0,1.056077727,FALSE,0,2922.19.99
62110256-271,Produto 1490,kg,0,1,TRUE,1,2925.29.23
77122136-145,Produto 1491,kg,0,1.169,FALSE,6,2932.20.00
77122067-41,Produto 1492,kg,0,1,FALSE,6,2905.22.30
77122094-10,Produto 1493,kg,0,1,FALSE,0,2905.22.30
77122067-10,Produto 1494,kg,0,1,FALSE,6,2905.22.30
77122114-10,Produto 1495,kg,0,1,FALSE,7,2905.22.30
77122096-41,Produto 1496,kg,0,1,FALSE,6,2905.22.30
77122096-10,Produto 1497,kg,0,1,TRUE,1,2905.22.30
64060116-54,Produto 1498,kg,0,1.220107369,FALSE,6,2929.10.21
64060116-145,Produto 1499,kg,0,1.220107369,FALSE,6,2929.10.21
64060116-195,Produto 1500,kg,0,1.220107369,FALSE,6,2929.10.21
77122077-10,Produto 1501,kg,0,1,FALSE,6,2915.39.93
77122076-10,Produto 1502,kg,0,1,FALSE,6,2915.60.19
64110005-1,Produto 1503,kg,0,0.983090838,FALSE,0,2917.32.00
64110005-752,Produto 1504,kg,0,0.983090838,FALSE,0,2917.32.00
64110005-301,Produto 1505,kg,0,0.983090838,FALSE,0,2917.32.00
64780090-93,Produto 1506,kg,0,1,TRUE,1,3206.11.19
64070017-93,Produto 1507,kg,0,1,TRUE,1,3206.11.19
64070002-93,Produto 1508,kg,0,1,TRUE,1,3206.11.19
64070001-93,Produto 1509,kg,0,1,TRUE,1,3206.11.19
64070003-93,Produto 1510,kg,0,1,TRUE,1,3206.11.19
64070012-93,Produto 1511,kg,0,1,TRUE,1,3206.11.19
64870002-93,Produto 1512,kg,0,1,TRUE,1,3206.11.19
62110459-78,Produto 1513,kg,0,1,TRUE,1,1702.11.00
66750003-92,Produto 1514,kg,0,1,FALSE,0,2507.00.10
25120003-1,Produto 1515,kg,0.05,0.865051903,FALSE,0,3301.90.20
25120003-10,Produto 1516,kg,0.05,0.865051903,FALSE,0,3301.90.20
25120003-482,Produto 1517,kg,0.05,0.865051903,FALSE,0,3301.90.20
81510033-65,Produto 1518,kg,0.05,1,FALSE,0,3910.00.12
81510033-174,Produto 1519,kg,0.05,1,FALSE,0,3910.00.12
81510033-51,Produto 1520,kg,0.05,1,FALSE,0,3910.00.12
81510033-1,Produto 1521,kg,0.05,1,FALSE,0,3910.00.12
81510033-10,Produto 1522,kg,0.05,1,FALSE,0,3910.00.12
66400114-40,Produto 1523,kg,0.1,1,TRUE,1,3824.99.89
66400114-246,Produto 1524,kg,0.1,1,TRUE,1,3824.99.89
66103004-288,Produto 1525,kg,0,1,FALSE,0,2933.29.99
