chave,CD,sku,id_prod,id_dc,moeda,preco,politica,por,atualizado,pp mes anterior,fob net anterior,analista,lead team,q min,reajuste,reajuste,coment,apoio sobre demanda,frac/FALSE
66112094-93SP13,SP13,66112094-93,5748,1,USD,"4,326.16",0.3,1000,TRUE,"4,664.91","6,064.39",FABIO,115,25,,,Seguir pol?tica,REGULAR,FALSE
77122141-116SC04,SC04,77122141-116,2493,5,USD,"5,064.11",0.3,1000,TRUE,"5,064.51","6,583.86",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122141-116SP13,SP13,77122141-116,2493,1,USD,"5,360.16",0.3,1000,TRUE,"5,393.14","7,011.08",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122142-10SC04,SC04,77122142-10,1332,5,USD,"14,422.82",0.3,1000,TRUE,"14,423.22","18,750.18",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122142-10SP13,SP13,77122142-10,1332,1,USD,"15,223.63",0.3,1000,TRUE,"15,315.73","19,910.45",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112006-10SC04,SC04,66112006-10,264,5,USD,"4,755.91",0.2,1000,TRUE,"4,756.30","5,707.56",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112006-10SP13,SP13,66112006-10,264,1,USD,"4,833.60",0.2,1000,TRUE,"4,865.88","5,839.06",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112006-41SP13,SP13,66112006-41,260,1,USD,"5,080.28",0.3,1000,TRUE,"5,063.12","6,582.06",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
52050002-10SC04,SC04,52050002-10,781,5,USD,"3,774.81",0.25,1000,TRUE,"3,775.20","4,719.00",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
52050002-10SP13,SP13,52050002-10,781,1,USD,"4,201.03",0.25,1000,TRUE,"4,260.32","5,325.40",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112002-10SC04,SC04,66112002-10,259,5,USD,"5,948.35",0.4,1000,TRUE,"5,948.75","8,328.24",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112002-10SP13,SP13,66112002-10,259,1,USD,"6,361.71",0.4,1000,TRUE,"6,399.84","8,959.78",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112002-41SP13,SP13,66112002-41,257,1,USD,"6,837.86",0.5,1000,TRUE,"6,917.98","10,376.97",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
66112023-10SC04,SC04,66112023-10,241,5,USD,"8,798.66",0.2,1000,TRUE,"8,799.05","10,558.86",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112023-10SP13,SP13,66112023-10,241,1,USD,"9,349.62",0.2,1000,TRUE,"9,405.85","11,287.02",FABIO,90,0,,,Seguir pol?tica,Regular,FALSE
66112023-41SP13,SP13,66112023-41,239,1,USD,"9,890.23",0.3,1000,TRUE,"10,007.46","13,009.70",FABIO,90,0,,,Seguir pol?tica,Regular,TRUE
